,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Daytime,Time_Difference_Minutes,Order_Hour,Order_Minute,Picked_Hour,Picked_Minute
11780,21,4.8,19.178321,72.834715,19.208321,72.864715,Cloudy,Low,1,Snack,scooter,0,No,Metropolitian,15,night,15,22,25,22,40
11781,38,4.6,11.006686,76.951736,11.096686,77.041736,Cloudy,Low,2,Buffet,motorcycle,1,No,Metropolitian,26,night,15,22,10,22,25
11785,21,4.6,12.337928,76.617889,12.417928,76.697889,Cloudy,Low,1,Buffet,scooter,1,No,Metropolitian,24,night,15,22,50,23,5
11787,35,4.1,22.308096,73.167753,22.378096,73.237753,Stormy,Jam,2,Buffet,motorcycle,2,No,Metropolitian,33,night,15,20,55,21,10
11792,26,4.7,19.879631,75.323403,19.959631,75.403403,Stormy,Medium,0,Meal,motorcycle,0,No,Metropolitian,24,evening,15,17,10,17,25
11794,24,4.9,10.006881,76.345397,10.086881,76.425397,Sunny,Medium,0,Buffet,motorcycle,1,No,Urban,20,evening,10,18,55,19,5
11795,24,5.0,12.981615,80.231598,12.991615,80.241598,Sunny,Low,1,Drinks,motorcycle,0,No,Metropolitian,21,morning,15,9,15,9,30
11798,24,4.5,22.744648,75.894377,22.764648,75.914377,Fog,Low,1,Meal,scooter,1,No,Urban,11,morning,5,8,10,8,15
11799,35,3.5,12.337978,76.616792,12.427978,76.706792,Sandstorms,Medium,1,Buffet,motorcycle,1,No,Metropolitian,34,evening,10,18,35,18,45
11802,26,4.8,18.543626,73.905101,18.673626,74.035101,Stormy,Jam,2,Buffet,motorcycle,1,No,Metropolitian,26,night,15,21,15,21,30
11805,36,4.3,11.022169,76.999594,11.152169,77.129594,Stormy,Jam,2,Snack,motorcycle,1,No,Metropolitian,31,evening,15,20,15,20,30
11807,22,5.0,17.426228,78.407495,17.506228,78.487495,Fog,Low,0,Buffet,motorcycle,0,No,Metropolitian,24,night,5,22,45,22,50
11809,38,4.6,11.003669,76.976494,11.033669,77.006494,Sunny,Jam,1,Buffet,motorcycle,0,No,Metropolitian,16,evening,5,20,30,20,35
11811,29,4.9,11.001753,76.986241,11.041753,77.026241,Sunny,Medium,2,Buffet,scooter,0,No,Metropolitian,12,afternoon,5,15,40,15,45
11813,33,5.0,23.214294,77.435361,23.274294,77.495361,Windy,Low,2,Snack,scooter,0,No,Metropolitian,20,night,5,23,40,23,45
11817,26,4.6,22.728163,75.884212,22.808163,75.964212,Windy,Jam,2,Meal,electric_scooter,1,No,Metropolitian,24,evening,10,19,35,19,45
11818,20,4.4,17.426228,78.407495,17.486228,78.467495,Windy,Low,0,Drinks,motorcycle,1,No,Urban,28,night,15,23,40,23,55
11820,25,4.7,15.556561,73.763633,15.686561,73.893633,Sandstorms,Low,1,Snack,scooter,1,No,Metropolitian,19,night,5,22,25,22,30
11824,35,4.1,12.325461,76.632278,12.395461,76.702278,Cloudy,Jam,2,Buffet,scooter,1,Yes,Metropolitian,48,night,5,21,40,21,45
11825,39,5.0,11.008638,76.984311,11.138638,77.114311,Stormy,Jam,1,Drinks,motorcycle,1,No,Metropolitian,27,evening,15,19,20,19,35
11826,22,4.6,19.221315,72.862381,19.231315,72.872381,Fog,High,1,Snack,scooter,2,No,Metropolitian,34,morning,10,11,25,11,35
11827,32,3.5,13.081878,80.248519,13.191878,80.358519,Stormy,Medium,2,Snack,scooter,1,No,Metropolitian,33,evening,15,17,25,17,40
11828,21,4.5,17.431668,78.408321,17.451668,78.428321,Stormy,High,2,Drinks,motorcycle,0,No,Urban,14,afternoon,15,11,55,12,10
11830,37,4.8,22.732225,75.874765,22.752225,75.894765,Fog,Low,1,Buffet,scooter,0,No,Metropolitian,15,morning,15,8,30,8,45
11832,22,4.4,27.195928,77.998092,27.335928,78.138092,Fog,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,35,evening,15,20,15,20,30
11833,26,4.9,19.103249,72.846749,19.123249,72.866749,Cloudy,Low,0,Meal,motorcycle,0,No,Metropolitian,18,morning,15,9,25,9,40
11843,20,4.6,22.311844,73.165081,22.321844,73.175081,Stormy,High,2,Snack,scooter,1,No,Metropolitian,12,morning,10,11,35,11,45
11845,20,4.7,21.170096,72.789122,21.240096,72.859122,Cloudy,Medium,0,Meal,motorcycle,1,No,Metropolitian,34,evening,15,17,50,18,5
11846,26,4.4,21.186608,72.794136,21.246608,72.854136,Sandstorms,Low,0,Meal,motorcycle,1,No,Urban,21,night,10,23,20,23,30
11847,23,4.1,26.911927,75.797282,26.931927,75.817282,Windy,Low,0,Meal,motorcycle,0,No,Metropolitian,25,morning,10,9,25,9,35
11849,24,4.9,30.359722,78.067079,30.409722,78.117079,Stormy,Low,2,Snack,scooter,1,No,Urban,10,night,10,22,20,22,30
11850,39,4.8,22.745049,75.892471,22.775049,75.922471,Fog,Low,0,Meal,motorcycle,1,No,Metropolitian,25,night,5,22,25,22,30
11851,27,4.8,22.310329,73.169083,22.380329,73.239083,Sandstorms,Jam,1,Snack,motorcycle,1,No,Urban,25,evening,10,20,10,20,20
11861,31,5.0,22.526461,88.364453,22.576461,88.414453,Windy,Medium,0,Drinks,motorcycle,1,No,Metropolitian,39,evening,10,18,40,18,50
11862,24,5.0,12.913041,77.683237,12.943041,77.713237,Sandstorms,Jam,1,Buffet,motorcycle,1,No,Metropolitian,14,evening,5,20,35,20,40
11863,22,4.5,11.008638,76.984311,11.098638,77.074311,Stormy,Low,1,Snack,motorcycle,0,No,Urban,15,night,5,22,40,22,45
11864,25,4.8,12.316967,76.603067,12.426967,76.713067,Sunny,Jam,0,Drinks,motorcycle,0,No,Urban,16,evening,5,20,35,20,40
11868,31,4.8,11.008638,76.984311,11.028638,77.004311,Cloudy,High,0,Snack,motorcycle,1,No,Metropolitian,30,morning,10,11,35,11,45
11869,24,4.5,19.875908,75.358888,19.905908,75.388888,Fog,Jam,1,Drinks,motorcycle,1,No,Metropolitian,25,evening,15,19,25,19,40
11871,34,4.8,12.970221,77.645396,13.050221,77.725396,Stormy,Jam,0,Snack,motorcycle,1,No,Urban,38,evening,5,19,30,19,35
11873,20,4.8,18.533811,73.899315,18.563811,73.929315,Stormy,Low,1,Buffet,motorcycle,1,No,Metropolitian,17,night,15,23,25,23,40
11879,35,4.1,21.173343,72.792731,21.213343,72.832731,Cloudy,High,2,Snack,scooter,1,No,Metropolitian,35,afternoon,10,13,20,13,30
11880,37,4.9,12.933298,77.614293,13.063298,77.744293,Fog,Medium,2,Drinks,scooter,0,No,Metropolitian,30,evening,10,18,10,18,20
11884,39,4.6,23.371292,85.327872,23.391292,85.347872,Windy,Low,2,Snack,motorcycle,1,No,Metropolitian,27,morning,5,10,25,10,30
11885,20,4.5,19.091458,72.827808,19.121458,72.857808,Windy,Medium,0,Buffet,motorcycle,0,No,Urban,14,evening,5,17,30,17,35
11886,38,4.9,13.029198,77.570997,13.139198,77.680997,Sunny,Jam,1,Meal,motorcycle,1,No,Metropolitian,30,evening,15,19,25,19,40
11888,31,4.2,22.308096,73.167753,22.398096,73.257753,Fog,Jam,2,Buffet,scooter,0,No,Metropolitian,48,evening,5,20,15,20,20
11890,36,4.8,22.751857,75.866699,22.881857,75.996699,Windy,Medium,1,Drinks,motorcycle,1,No,Metropolitian,30,evening,5,18,50,18,55
11891,24,5.0,17.424114,78.347554,17.474114,78.397554,Cloudy,Medium,2,Buffet,scooter,1,No,Metropolitian,14,evening,15,17,50,18,5
11892,29,4.7,12.913041,77.683237,13.003041,77.773237,Sandstorms,Jam,1,Buffet,scooter,1,No,Metropolitian,18,evening,15,20,40,20,55
11893,24,4.5,21.175104,72.804342,21.185104,72.814342,Sandstorms,High,1,Snack,scooter,1,No,Metropolitian,25,morning,5,11,20,11,25
11896,38,4.6,19.103249,72.846749,19.123249,72.866749,Fog,Low,1,Meal,scooter,1,No,Metropolitian,19,morning,15,10,15,10,30
11897,38,4.8,17.411028,78.329645,17.521028,78.439645,Cloudy,Jam,2,Snack,motorcycle,1,Yes,Metropolitian,43,evening,5,20,20,20,25
11900,26,3.2,22.727021,75.884167,22.837021,75.994167,Sunny,Low,2,Snack,motorcycle,2,No,Metropolitian,42,night,10,22,35,22,45
11901,35,4.3,23.214294,77.435361,23.284294,77.505361,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,38,night,5,22,30,22,35
11904,30,5.0,19.055831,72.833984,19.085831,72.863984,Fog,Low,0,Snack,motorcycle,0,No,Metropolitian,23,night,10,23,15,23,25
11905,32,3.7,22.728163,75.884212,22.838163,75.994212,Cloudy,Low,2,Buffet,electric_scooter,0,No,Metropolitian,37,night,5,22,20,22,25
11907,34,4.5,27.160934,78.044095,27.190934,78.074095,Stormy,Jam,2,Snack,scooter,1,No,Metropolitian,26,night,15,21,10,21,25
11908,37,4.7,22.728163,75.884212,22.798163,75.954212,Cloudy,Medium,1,Snack,scooter,2,No,Metropolitian,42,evening,10,17,55,18,5
11909,29,5.0,17.458998,78.500366,17.548998,78.590366,Windy,Medium,2,Drinks,motorcycle,1,No,Metropolitian,15,evening,10,17,45,17,55
11912,28,4.4,11.000762,76.981876,11.070762,77.051876,Stormy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,39,evening,5,18,40,18,45
11913,23,4.5,26.849596,75.800512,26.989596,75.940512,Sandstorms,Jam,0,Drinks,motorcycle,1,No,Metropolitian,30,night,5,21,35,21,40
11916,23,4.8,19.103249,72.846749,19.193249,72.936749,Windy,Low,2,Drinks,electric_scooter,1,No,Urban,11,night,5,22,35,22,40
11917,27,4.5,26.913987,75.752891,26.993987,75.832891,Sunny,Jam,0,Meal,motorcycle,1,No,Metropolitian,18,night,10,21,10,21,20
11918,26,4.6,22.308096,73.167753,22.338096,73.197753,Windy,Jam,0,Snack,motorcycle,1,No,Metropolitian,21,night,5,21,40,21,45
11921,24,4.5,23.416792,85.316842,23.476792,85.376842,Stormy,Medium,2,Buffet,scooter,1,No,Urban,26,evening,15,17,25,17,40
11923,21,4.5,18.994049,72.825203,19.064049,72.895203,Stormy,Jam,2,Snack,scooter,0,No,Metropolitian,16,evening,10,19,20,19,30
11924,20,4.9,11.001753,76.986241,11.081753,77.066241,Stormy,Medium,0,Snack,motorcycle,1,No,Metropolitian,34,evening,5,18,10,18,15
11927,32,4.5,12.978453,77.643685,12.998453,77.663685,Sandstorms,Low,0,Buffet,motorcycle,1,No,Urban,27,morning,5,9,10,9,15
11929,37,4.7,26.891191,75.802083,26.981191,75.892083,Cloudy,Jam,1,Snack,scooter,1,No,Metropolitian,40,night,15,21,30,21,45
11932,35,4.9,17.458998,78.500366,17.488998,78.530366,Sunny,Medium,0,Meal,motorcycle,1,No,Urban,23,evening,10,18,10,18,20
11935,32,3.8,21.149569,72.772697,21.279569,72.902697,Stormy,Jam,2,Snack,electric_scooter,0,No,Urban,34,evening,5,19,20,19,25
11940,37,5.0,22.760072,75.892574,22.810072,75.942574,Sunny,Medium,0,Drinks,motorcycle,1,No,Metropolitian,21,evening,15,17,35,17,50
11941,35,4.4,11.026117,76.944652,11.156117,77.074652,Stormy,Jam,0,Meal,motorcycle,1,No,Metropolitian,37,evening,10,19,10,19,20
11943,20,4.9,19.065838,72.832658,19.135838,72.902658,Stormy,Jam,1,Snack,scooter,1,No,Metropolitian,23,evening,15,20,30,20,45
11944,23,4.7,26.913483,75.803139,27.023483,75.913139,Windy,Jam,2,Snack,electric_scooter,1,No,Urban,24,night,10,20,55,21,5
11948,36,5.0,18.536562,73.896485,18.606562,73.966485,Cloudy,Jam,2,Snack,scooter,1,No,Metropolitian,39,evening,5,19,40,19,45
11950,31,4.8,22.569367,88.433187,22.679367,88.543187,Stormy,Low,1,Meal,motorcycle,1,No,Metropolitian,25,night,15,23,35,23,50
11952,22,5.0,26.766536,75.837333,26.836536,75.907333,Cloudy,Jam,1,Snack,motorcycle,2,No,Metropolitian,43,evening,15,19,50,20,5
11954,33,4.8,22.751857,75.866699,22.821857,75.936699,Stormy,Medium,2,Drinks,scooter,1,No,Metropolitian,29,evening,15,18,25,18,40
11956,30,5.0,23.359407,85.325055,23.409407,85.375055,Stormy,Medium,0,Buffet,motorcycle,1,No,Metropolitian,39,evening,10,18,15,18,25
11957,26,4.8,12.933284,77.615428,12.943284,77.625428,Stormy,Low,1,Meal,scooter,0,No,Metropolitian,19,morning,15,10,55,11,10
11958,31,4.8,12.316967,76.603067,12.386967,76.673067,Cloudy,Jam,0,Drinks,motorcycle,0,No,Metropolitian,42,evening,10,19,10,19,20
11960,33,4.1,12.297954,76.665169,12.387954,76.755169,Stormy,Medium,2,Meal,scooter,1,No,Metropolitian,39,evening,10,18,30,18,40
11963,29,4.7,18.546258,73.904337,18.656258,74.014337,Sandstorms,Low,2,Drinks,scooter,0,No,Metropolitian,18,night,5,23,25,23,30
11965,33,4.1,23.351489,85.324253,23.381489,85.354253,Windy,Medium,1,Drinks,motorcycle,1,No,Metropolitian,34,evening,10,17,55,18,5
11968,22,4.8,13.029198,77.570997,13.049198,77.590997,Cloudy,High,0,Snack,motorcycle,1,No,Metropolitian,22,morning,10,11,40,11,50
11969,38,4.8,18.569156,73.774723,18.639156,73.844723,Cloudy,Medium,0,Snack,motorcycle,1,No,Metropolitian,48,evening,10,18,30,18,40
11970,39,4.6,22.760072,75.892574,22.780072,75.912574,Windy,Low,1,Meal,motorcycle,1,No,Metropolitian,25,morning,5,8,40,8,45
11978,37,4.9,23.416792,85.316842,23.436792,85.336842,Sunny,Low,1,Drinks,motorcycle,1,No,Urban,14,morning,5,9,30,9,35
11980,32,5.0,13.026286,80.275235,13.106286,80.355235,Cloudy,Medium,2,Meal,electric_scooter,1,No,Urban,38,evening,5,17,20,17,25
11981,38,4.0,17.455894,78.375467,17.565894,78.485467,Windy,Jam,0,Snack,motorcycle,1,No,Urban,43,night,10,21,20,21,30
11982,22,4.3,11.008638,76.984311,11.038638,77.014311,Windy,Low,0,Buffet,motorcycle,0,No,Metropolitian,27,night,10,22,25,22,35
11983,38,3.9,17.411028,78.329645,17.541028,78.459645,Sandstorms,Jam,2,Drinks,scooter,1,No,Metropolitian,43,evening,15,20,15,20,30
11984,25,4.9,13.066762,80.251865,13.136762,80.321865,Cloudy,Jam,1,Drinks,motorcycle,1,No,Urban,43,night,15,21,55,22,10
11985,35,4.8,12.978453,77.643685,13.088453,77.753685,Sandstorms,Jam,0,Drinks,motorcycle,1,No,Metropolitian,46,evening,15,20,40,20,55
11986,28,4.9,26.891191,75.802083,27.031191,75.942083,Fog,Low,1,Snack,scooter,1,No,Urban,25,night,15,22,35,22,50
11988,29,4.8,12.972793,80.249982,13.022793,80.299982,Fog,Jam,0,Drinks,motorcycle,0,No,Metropolitian,25,night,5,21,50,21,55
11989,27,4.7,26.913987,75.752891,26.973987,75.812891,Windy,Jam,2,Drinks,motorcycle,1,No,Urban,14,night,15,21,50,22,5
11990,21,4.2,10.994136,76.963303,11.104136,77.073303,Cloudy,Medium,1,Meal,scooter,1,No,Metropolitian,38,evening,10,17,40,17,50
11993,27,4.8,12.975996,80.221898,13.065996,80.311898,Sunny,Jam,0,Meal,motorcycle,1,No,Metropolitian,20,evening,5,20,50,20,55
11997,38,4.7,12.337928,76.617889,12.397928,76.677889,Fog,Low,1,Snack,motorcycle,1,No,Urban,17,night,15,23,25,23,40
11998,23,4.5,18.536718,73.830327,18.596719,73.890327,Cloudy,Jam,1,Buffet,motorcycle,0,No,Metropolitian,23,evening,10,20,20,20,30
12000,21,4.6,21.170798,72.790489,21.230798,72.850489,Sandstorms,Medium,1,Buffet,motorcycle,1,No,Metropolitian,28,evening,15,17,30,17,45
12002,35,4.7,13.066762,80.251865,13.146762,80.331865,Fog,Jam,0,Snack,motorcycle,1,No,Metropolitian,46,evening,5,20,35,20,40
12003,27,4.8,11.003669,76.976494,11.083669,77.056494,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,39,evening,15,19,25,19,40
12004,28,4.1,26.483672,80.320708,26.503672,80.340708,Sunny,High,0,Drinks,motorcycle,2,No,Metropolitian,46,morning,15,11,15,11,30
12007,29,4.1,12.316967,76.603067,12.406967,76.693067,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,40,evening,5,19,30,19,35
12009,20,4.5,30.873988,75.842739,30.933988,75.902739,Sandstorms,Jam,2,Snack,motorcycle,1,No,Urban,29,night,10,21,55,22,5
12016,37,4.1,26.921411,75.793604,27.061411,75.933604,Stormy,Jam,0,Meal,motorcycle,1,No,Urban,35,evening,5,19,30,19,35
12017,27,4.5,18.554382,73.798206,18.574382,73.818206,Windy,Low,2,Snack,electric_scooter,0,No,Urban,10,morning,15,9,35,9,50
12018,23,4.8,13.058616,80.264151,13.138616,80.344151,Windy,Jam,0,Meal,motorcycle,1,No,Metropolitian,36,evening,15,20,35,20,50
12021,35,4.6,23.374989,85.335486,23.454989,85.415486,Fog,Medium,0,Meal,motorcycle,2,No,Metropolitian,40,evening,5,17,50,17,55
12022,36,4.2,13.026279,80.174568,13.106279,80.254568,Sunny,Jam,0,Drinks,motorcycle,0,No,Metropolitian,37,night,10,20,55,21,5
12028,32,4.6,23.357804,85.325146,23.397804,85.365146,Cloudy,High,0,Buffet,motorcycle,1,No,Metropolitian,26,afternoon,15,14,55,15,10
12030,20,4.8,22.308096,73.167753,22.398096,73.257753,Sandstorms,Low,2,Snack,scooter,0,No,Metropolitian,12,night,5,22,45,22,50
12032,30,4.6,22.307898,73.167788,22.357898,73.217788,Sunny,Jam,2,Meal,electric_scooter,1,No,Metropolitian,15,evening,5,19,40,19,45
12033,37,4.5,22.725835,75.887648,22.735835,75.897648,Fog,Low,2,Meal,motorcycle,1,No,Metropolitian,16,morning,10,9,30,9,40
12034,27,4.1,26.902908,75.792934,26.972908,75.862934,Cloudy,Jam,1,Buffet,scooter,1,No,Metropolitian,41,evening,5,20,30,20,35
12035,37,5.0,13.026286,80.275235,13.076286,80.325235,Sandstorms,Jam,1,Snack,motorcycle,1,No,Metropolitian,32,evening,10,20,35,20,45
12039,26,4.8,12.981615,80.231598,13.061615,80.311598,Cloudy,Medium,2,Meal,motorcycle,1,No,Urban,26,evening,10,17,55,18,5
12040,28,4.8,17.458998,78.500366,17.468998,78.510366,Stormy,Low,2,Drinks,electric_scooter,0,No,Metropolitian,15,morning,5,10,40,10,45
12041,39,4.3,19.091458,72.827808,19.111458,72.847808,Stormy,Low,0,Snack,motorcycle,1,No,Metropolitian,21,morning,5,9,45,9,50
12042,26,5.0,21.173493,72.801953,21.193493,72.821953,Sandstorms,High,0,Drinks,motorcycle,1,No,Metropolitian,26,morning,10,11,20,11,30
12043,21,4.5,11.000762,76.981876,11.060762,77.041876,Stormy,Medium,2,Drinks,electric_scooter,0,No,Metropolitian,21,evening,15,18,10,18,25
12045,39,4.5,22.753659,75.903365,22.763659,75.913365,Sunny,Low,0,Snack,motorcycle,1,No,Metropolitian,26,morning,15,8,10,8,25
12046,20,5.0,25.451646,81.832796,25.521646,81.902796,Sandstorms,Low,2,Snack,scooter,0,No,Metropolitian,15,night,5,22,30,22,35
12048,25,4.6,12.934365,77.616155,12.964365,77.646155,Sunny,Jam,2,Meal,scooter,0,No,Metropolitian,16,evening,10,19,25,19,35
12049,25,4.6,12.334022,76.618203,12.464022,76.748203,Sunny,Jam,2,Buffet,electric_scooter,0,No,Metropolitian,20,night,10,21,40,21,50
12050,27,4.8,23.351489,85.324253,23.371489,85.344253,Windy,Low,1,Snack,motorcycle,0,No,Metropolitian,12,morning,5,9,45,9,50
12052,21,4.5,18.569156,73.774723,18.679156,73.884723,Fog,Low,1,Buffet,scooter,1,No,Metropolitian,23,night,5,23,25,23,30
12054,33,5.0,18.636215,73.751081,18.656215,73.771081,Fog,Low,1,Drinks,scooter,1,No,Metropolitian,17,morning,15,10,55,11,10
12058,35,4.6,19.055831,72.833984,19.095831,72.873984,Fog,High,0,Meal,motorcycle,1,No,Urban,30,afternoon,5,13,50,13,55
12061,23,4.7,12.323978,76.627961,12.403978,76.707961,Stormy,Jam,1,Meal,scooter,1,No,Metropolitian,22,evening,5,20,25,20,30
12062,22,4.6,10.006881,76.345397,10.076881,76.415397,Sunny,Jam,0,Snack,motorcycle,0,No,Metropolitian,34,evening,5,20,45,20,50
12064,27,4.6,22.577821,88.400581,22.657821,88.480581,Stormy,Jam,2,Meal,electric_scooter,1,No,Metropolitian,29,evening,10,19,20,19,30
12065,27,4.7,26.469003,80.316344,26.489003,80.336344,Cloudy,Low,2,Meal,electric_scooter,1,No,Urban,16,morning,10,10,15,10,25
12068,38,4.8,26.766536,75.837333,26.846536,75.917333,Sunny,Jam,0,Meal,motorcycle,1,No,Metropolitian,44,night,15,21,50,22,5
12070,39,3.5,21.175975,72.795503,21.305975,72.925503,Windy,Jam,2,Snack,scooter,0,No,Metropolitian,38,night,15,21,25,21,40
12072,32,4.5,22.722634,75.886959,22.742634,75.906959,Sandstorms,Low,1,Buffet,scooter,0,No,Urban,24,morning,15,10,40,10,55
12074,34,4.8,22.722634,75.886959,22.782634,75.946959,Cloudy,Jam,0,Snack,motorcycle,1,No,Urban,31,night,10,21,25,21,35
12075,28,4.8,17.451976,78.385883,17.471976,78.405883,Stormy,Low,1,Drinks,scooter,0,No,Metropolitian,16,morning,10,8,25,8,35
12076,23,5.0,19.121999,72.908493,19.191999,72.978493,Sunny,Medium,1,Drinks,scooter,0,No,Urban,13,evening,5,18,50,18,55
12082,31,4.0,22.533662,88.366217,22.613662,88.446217,Windy,Jam,0,Meal,motorcycle,2,No,Metropolitian,44,evening,15,20,10,20,25
12083,28,4.9,22.722634,75.886959,22.832634,75.996959,Windy,Low,0,Snack,motorcycle,1,No,Metropolitian,15,night,15,23,15,23,30
12086,21,4.1,22.311358,73.164798,22.321358,73.174798,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,16,morning,5,9,30,9,35
12088,25,4.8,21.175975,72.795503,21.185975,72.805503,Fog,Low,0,Buffet,motorcycle,1,No,Metropolitian,18,morning,10,9,30,9,40
12089,30,4.8,12.949934,77.699386,13.039934,77.789386,Stormy,Low,0,Snack,motorcycle,0,No,Metropolitian,20,night,5,23,25,23,30
12090,26,5.0,22.514119,88.362504,22.644119,88.492504,Cloudy,Jam,1,Meal,scooter,2,No,Metropolitian,42,night,15,20,55,21,10
12092,39,4.5,21.170096,72.789122,21.250096,72.869122,Sunny,Jam,1,Meal,scooter,1,No,Metropolitian,15,evening,5,19,50,19,55
12093,39,4.1,23.359033,85.325347,23.439033,85.405347,Fog,Jam,1,Meal,motorcycle,2,Yes,Metropolitian,47,evening,10,20,30,20,40
12095,25,4.6,22.311358,73.164798,22.321358,73.174798,Fog,Low,1,Snack,scooter,1,No,Urban,18,morning,15,8,10,8,25
12099,32,5.0,22.744648,75.894377,22.764648,75.914377,Cloudy,High,1,Drinks,motorcycle,1,No,Urban,27,morning,5,11,50,11,55
12101,24,4.6,19.120083,72.907385,19.230083,73.017385,Sunny,Jam,1,Buffet,motorcycle,1,No,Metropolitian,21,night,10,21,35,21,45
12103,33,4.7,17.411028,78.329645,17.441028,78.359645,Stormy,Low,2,Meal,scooter,1,No,Metropolitian,25,night,5,23,40,23,45
12104,31,4.6,18.994049,72.825203,19.034049,72.865203,Windy,High,1,Drinks,scooter,1,No,Metropolitian,30,afternoon,10,14,20,14,30
12106,22,4.9,13.029198,77.570997,13.099198,77.640997,Fog,Medium,1,Buffet,motorcycle,1,No,Metropolitian,32,evening,15,17,15,17,30
12107,27,4.7,17.458998,78.500366,17.508998,78.550366,Fog,Low,1,Buffet,scooter,0,No,Metropolitian,11,night,5,22,45,22,50
12108,33,5.0,18.546258,73.904337,18.596258,73.954337,Windy,Jam,1,Meal,scooter,1,No,Metropolitian,34,evening,10,19,25,19,35
12110,31,4.9,26.911927,75.797282,27.041927,75.927282,Sunny,Low,0,Buffet,motorcycle,0,No,Metropolitian,30,night,10,23,45,23,55
12113,22,4.6,30.372202,78.077151,30.452202,78.157151,Windy,Medium,1,Snack,scooter,1,No,Metropolitian,18,evening,5,18,50,18,55
12117,22,4.6,12.337978,76.616792,12.377978,76.656792,Sandstorms,Medium,1,Meal,scooter,1,No,Metropolitian,28,afternoon,5,16,45,16,50
12118,35,4.1,22.760072,75.892574,22.870072,76.002574,Windy,Jam,0,Snack,motorcycle,3,No,Semi-Urban,54,evening,10,20,10,20,20
12119,38,4.9,12.304569,76.643622,12.324569,76.663622,Sunny,Low,0,Drinks,motorcycle,1,No,Urban,23,morning,10,9,40,9,50
12121,36,4.7,12.337978,76.616792,12.407978,76.686792,Sunny,Low,0,Drinks,motorcycle,1,No,Urban,27,night,15,23,20,23,35
12124,31,4.0,21.183434,72.814492,21.243434,72.874492,Stormy,Low,0,Meal,motorcycle,1,No,Metropolitian,33,night,15,23,15,23,30
12127,36,4.7,10.003064,76.307589,10.113064,76.417589,Stormy,Medium,1,Buffet,motorcycle,1,No,Metropolitian,27,evening,10,17,15,17,25
12129,26,4.7,21.186608,72.794136,21.276608,72.884136,Stormy,Low,0,Drinks,motorcycle,1,No,Metropolitian,23,night,10,23,45,23,55
12130,27,4.6,19.254567,72.848923,19.264567,72.858923,Sandstorms,Low,1,Drinks,motorcycle,1,No,Metropolitian,18,morning,15,8,25,8,40
12131,29,4.6,23.211529,77.419399,23.341529,77.549399,Fog,Jam,0,Drinks,motorcycle,2,No,Metropolitian,45,night,15,21,15,21,30
12132,26,5.0,17.483216,78.552111,17.533216,78.602111,Fog,Low,2,Buffet,electric_scooter,0,No,Metropolitian,15,night,10,22,20,22,30
12133,26,4.9,26.483042,80.317833,26.553042,80.387833,Sunny,Low,2,Buffet,motorcycle,1,No,Metropolitian,26,night,10,22,25,22,35
12134,22,4.5,23.357804,85.325146,23.437804,85.405146,Stormy,Low,0,Snack,motorcycle,0,No,Metropolitian,15,night,10,22,20,22,30
12135,39,4.2,26.902328,75.794257,26.992328,75.884257,Cloudy,Jam,2,Meal,scooter,0,No,Metropolitian,35,night,15,20,50,21,5
12136,38,4.9,18.533811,73.899315,18.563811,73.929315,Stormy,Jam,2,Buffet,electric_scooter,1,No,Urban,27,night,5,21,50,21,55
12138,37,4.7,13.086438,80.220672,13.096438,80.230672,Cloudy,Low,0,Buffet,motorcycle,1,No,Urban,26,morning,15,10,50,11,5
12143,21,4.7,17.433809,78.386744,17.503809,78.456744,Stormy,Jam,1,Drinks,scooter,1,No,Metropolitian,28,evening,5,20,50,20,55
12145,23,4.6,17.450851,78.379347,17.540851,78.469347,Cloudy,Medium,1,Meal,motorcycle,1,No,Metropolitian,30,evening,15,18,55,19,10
12148,23,4.8,26.902328,75.794257,26.942328,75.834257,Cloudy,Medium,1,Meal,scooter,0,No,Urban,12,afternoon,10,15,20,15,30
12151,22,4.8,25.450329,81.834279,25.560329,81.944279,Sandstorms,Low,0,Snack,motorcycle,1,No,Metropolitian,21,night,5,22,50,22,55
12153,26,4.6,12.284747,76.625861,12.324747,76.665861,Cloudy,High,0,Buffet,motorcycle,1,No,Metropolitian,29,afternoon,10,12,30,12,40
12154,36,4.2,12.970324,77.645748,13.010324,77.685748,Stormy,High,1,Drinks,scooter,1,No,Metropolitian,32,afternoon,15,14,40,14,55
12156,35,4.7,10.994136,76.963303,11.034136,77.003303,Stormy,High,1,Meal,motorcycle,1,No,Metropolitian,25,afternoon,5,12,10,12,15
12157,29,4.8,12.323194,76.630583,12.433194,76.740583,Windy,Medium,1,Drinks,motorcycle,1,No,Urban,25,evening,10,18,35,18,45
12158,36,4.6,30.893384,75.821202,30.943384,75.871202,Cloudy,Medium,1,Snack,motorcycle,0,No,Urban,19,evening,10,18,30,18,40
