,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Time_Orderd_hour,Time_Orderd_minute,Time_Order_picked_hour,Time_Order_picked_minute,onground_dist
4427,37.0,4.6,Fog,High,0,Meal,motorcycle,1.0,No,Metropolitian,27,13,30,22,10,
4428,28.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,17,15,22,10,
4429,27.0,5.0,Fog,High,1,Meal,scooter,0.0,No,Metropolitian,34,11,40,22,10,
4430,31.0,4.8,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,49,18,35,22,10,
4431,39.0,4.4,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,37,23,50,22,10,
4432,20.0,4.9,Stormy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,24,18,40,22,10,
4433,24.0,4.1,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,27,23,10,22,10,
4434,35.0,4.7,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,21,10,10,22,10,
4435,21.0,4.8,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,17,22,20,22,10,
4436,24.0,4.6,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Urban,11,18,20,22,10,
4437,23.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,22,30,22,10,
4438,29.0,4.3,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,31,17,15,22,10,
4439,29.0,5.0,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38,18,15,22,10,
4440,27.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,22,21,35,22,10,
4441,37.0,4.2,Stormy,Jam,0,Meal,motorcycle,2.0,No,Urban,42,20,30,22,10,
4442,27.0,4.7,Stormy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,27,17,55,22,10,
4443,31.0,4.6,Stormy,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,26,19,30,22,10,
4444,38.0,4.2,Fog,High,0,Buffet,motorcycle,2.0,No,Metropolitian,34,14,45,22,10,
4445,27.0,4.5,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,23,22,55,22,10,
4446,33.0,5.0,Sandstorms,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,53,21,25,22,10,
4447,26.0,4.8,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,16,23,30,22,10,
4448,34.0,4.5,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,26,17,20,22,10,
4449,29.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Urban,12,8,15,22,10,
4450,39.0,4.9,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,31,19,30,22,10,
4451,38.0,4.7,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,50,21,15,22,10,
4452,32.0,5.0,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,27,16,40,22,10,
4453,26.0,4.6,Windy,Medium,2,Buffet,motorcycle,1.0,No,Urban,29,17,45,22,10,
4454,24.0,4.2,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,34,17,15,22,10,
4455,29.0,5.0,Fog,Low,1,Drinks,motorcycle,1.0,No,Urban,23,22,25,22,10,
4456,24.0,4.8,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,16,18,55,22,10,
4457,36.0,3.5,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,32,21,50,22,10,
4458,34.0,4.7,Sandstorms,High,1,Meal,scooter,1.0,No,Metropolitian,26,11,30,22,10,
4459,33.0,4.7,Sunny,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,26,22,35,22,10,
4460,25.0,4.1,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,36,21,55,22,10,
4461,29.0,5.0,Fog,Jam,2,Snack,scooter,0.0,No,Metropolitian,38,20,30,22,10,
4462,36.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,21,8,35,22,10,
4463,35.0,4.1,Fog,Jam,1,Drinks,motorcycle,2.0,No,Urban,43,21,40,22,10,
4464,31.0,4.5,Fog,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,52,21,35,22,10,
4465,32.0,3.5,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,35,23,20,22,10,
4466,37.0,4.7,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,42,17,35,22,10,
4467,31.0,4.4,Stormy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,46,21,40,22,10,
4468,23.0,4.6,Stormy,Low,2,Snack,electric_scooter,0.0,No,Urban,14,10,30,22,10,
4469,23.0,4.6,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,36,19,40,22,10,
4470,34.0,3.7,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,41,21,20,22,10,
4471,32.0,4.9,Fog,Jam,0,Meal,motorcycle,3.0,Yes,Metropolitian,54,19,10,22,10,
4472,39.0,4.6,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,42,19,25,22,10,
4473,34.0,4.7,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,23,15,22,10,
4474,34.0,4.1,Windy,Jam,2,Snack,motorcycle,1.0,No,Urban,40,20,40,22,10,
4475,27.0,4.9,Sunny,Medium,1,Buffet,scooter,1.0,No,Urban,17,16,15,22,10,
4476,30.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,42,20,30,22,10,
4477,30.0,4.6,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,18,25,22,10,
4478,20.0,4.9,Stormy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,23,21,15,22,10,
4479,27.0,5.0,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,18,40,22,10,
4480,21.0,5.0,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,17,23,40,22,10,
4481,30.0,4.6,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,26,23,40,22,10,
4482,29.0,4.7,Fog,High,2,Drinks,scooter,0.0,No,Urban,23,11,15,22,10,
4483,27.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20,35,22,10,
4484,21.0,4.8,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Urban,24,22,25,22,10,
4485,32.0,4.6,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Urban,27,20,10,22,10,
4486,22.0,5.0,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,21,30,22,10,
4487,36.0,4.6,Fog,Jam,2,Drinks,scooter,1.0,No,Urban,41,19,35,22,10,
4488,25.0,4.6,Sunny,Medium,2,Snack,scooter,0.0,No,Metropolitian,11,15,40,22,10,
4489,36.0,4.8,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,18,17,30,22,10,
4490,33.0,4.9,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,24,8,45,22,10,
4491,37.0,4.2,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,44,11,45,22,10,
4492,27.0,4.9,Windy,Low,2,Snack,scooter,1.0,No,Urban,15,8,10,22,10,
4493,30.0,4.7,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,30,17,10,22,10,
4494,30.0,3.7,Stormy,Jam,2,Meal,motorcycle,2.0,No,Metropolitian,42,21,40,22,10,
4495,31.0,4.1,Sandstorms,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,40,18,30,22,10,
4496,23.0,4.9,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Urban,14,10,30,22,10,
4497,37.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,21,17,35,22,10,
4498,23.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Urban,34,21,20,22,10,
4499,31.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,17,23,30,22,10,
4500,31.0,4.2,Sunny,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,34,21,45,22,10,
4501,25.0,3.4,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,34,23,40,22,10,
4502,29.0,4.9,Sunny,Low,1,Meal,motorcycle,0.0,No,Metropolitian,21,22,40,22,10,
4503,21.0,4.8,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Urban,18,10,20,22,10,
4504,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,19,10,22,10,
4505,20.0,4.7,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Urban,26,16,30,22,10,
4506,26.0,4.7,Sandstorms,Jam,2,Meal,electric_scooter,1.0,No,Urban,17,19,20,22,10,
4507,31.0,4.4,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,36,21,50,22,10,
4508,33.0,4.2,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,35,19,25,22,10,
4509,21.0,3.8,Sunny,High,0,Drinks,motorcycle,3.0,No,Metropolitian,49,11,15,22,10,
4510,28.0,5.0,Stormy,Low,1,Buffet,scooter,1.0,No,Metropolitian,17,22,45,22,10,
4511,38.0,4.9,Fog,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,44,21,40,22,10,
4512,24.0,4.6,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,12,23,40,22,10,
4513,26.0,5.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,20,40,22,10,
4514,32.0,4.7,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,31,17,40,22,10,
4515,25.0,4.8,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Urban,26,21,35,22,10,
4516,24.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,21,17,35,22,10,
4517,27.0,4.7,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,29,19,40,22,10,
4518,29.0,4.8,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,18,10,55,22,10,
4519,27.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,40,17,10,22,10,
4520,33.0,4.6,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,20,16,35,22,10,
4521,32.0,4.1,Fog,Low,0,Meal,motorcycle,2.0,No,Metropolitian,37,22,10,22,10,
4522,35.0,4.0,Cloudy,Medium,2,Drinks,scooter,2.0,No,Urban,34,17,20,22,10,
4523,35.0,4.5,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Metropolitian,29,22,50,22,10,
4524,32.0,4.4,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,36,21,15,22,10,
4525,35.0,5.0,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,8,50,22,10,
4526,31.0,4.9,Cloudy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,49,19,20,22,10,
4527,39.0,4.7,Fog,Jam,2,Meal,electric_scooter,3.0,Yes,Semi-Urban,49,21,30,22,10,
4528,35.0,4.5,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,48,21,25,22,10,
4529,20.0,4.7,Windy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,27,18,55,22,10,
4530,24.0,5.0,Windy,Jam,2,Snack,scooter,0.0,No,Urban,13,19,35,22,10,
4531,28.0,5.0,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,29,18,45,22,10,
4532,28.0,4.6,Sandstorms,High,2,Snack,scooter,1.0,No,Metropolitian,20,14,40,22,10,
4533,30.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,26,17,20,22,10,
4534,20.0,4.6,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,13,22,25,22,10,
4535,20.0,4.9,Fog,Low,2,Snack,scooter,1.0,No,Metropolitian,16,10,40,22,10,
4536,29.0,5.0,Fog,High,2,Snack,motorcycle,0.0,No,Metropolitian,21,11,10,22,10,
4537,28.0,4.7,Fog,Medium,2,Buffet,motorcycle,1.0,No,Urban,12,18,30,22,10,
4538,20.0,4.6,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,30,17,50,22,10,
4539,23.0,3.5,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,47,11,30,22,10,
4540,26.0,4.8,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,22,10,35,22,10,
4541,27.0,4.8,Sunny,Jam,1,Meal,scooter,1.0,No,Urban,20,21,40,22,10,
4542,26.0,5.0,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Urban,12,20,50,22,10,
4543,30.0,3.6,Stormy,Jam,1,Drinks,scooter,1.0,No,Urban,38,19,20,22,10,
4544,25.0,4.8,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,18,30,22,10,
4545,29.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,15,8,35,22,10,
4546,29.0,4.4,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,37,20,50,22,10,
4547,39.0,4.5,Sandstorms,Medium,2,Meal,scooter,1.0,No,Urban,30,18,50,22,10,
4548,38.0,4.7,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,19,23,45,22,10,
4549,32.0,4.3,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,30,8,55,22,10,
4550,35.0,4.0,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,9,25,22,10,
4551,24.0,5.0,Cloudy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,44,21,15,22,10,
4552,37.0,4.3,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,29,23,10,22,10,
4553,39.0,4.5,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,46,18,20,22,10,
4554,22.0,4.7,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Urban,15,8,45,22,10,
4555,35.0,4.6,Windy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,15,22,10,22,10,
4556,25.0,4.7,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,44,19,15,22,10,
4557,29.0,4.5,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,17,23,40,22,10,
4558,35.0,5.0,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,34,21,55,22,10,
4559,34.0,4.8,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,27,9,50,22,10,
4560,25.0,4.8,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,17,10,22,10,
4561,23.0,4.7,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Urban,12,22,25,22,10,
4562,35.0,4.9,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,29,23,20,22,10,
4563,38.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,16,21,45,22,10,
4564,29.0,4.7,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,11,22,35,22,10,
4565,31.0,5.0,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,38,18,30,22,10,
4566,37.0,4.7,Sunny,Low,2,Snack,scooter,1.0,No,Urban,22,23,10,22,10,
4567,25.0,4.9,Windy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,26,20,35,22,10,
4568,35.0,4.5,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Urban,29,18,20,22,10,
4569,38.0,4.3,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,36,21,35,22,10,
4570,30.0,4.8,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,27,13,15,22,10,
4571,36.0,4.1,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,49,20,30,22,10,
4572,27.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,23,10,22,10,
4573,28.0,4.9,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,26,18,10,22,10,
4574,29.0,4.9,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,19,10,25,22,10,
4575,33.0,4.8,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,14,55,22,10,
4576,24.0,4.5,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,9,30,22,10,
4577,38.0,4.8,Windy,Low,1,Drinks,scooter,0.0,No,Urban,21,10,30,22,10,
4578,39.0,4.8,Fog,Low,2,Buffet,scooter,0.0,No,Metropolitian,28,23,45,22,10,
4579,34.0,4.9,Stormy,High,2,Snack,electric_scooter,1.0,No,Metropolitian,30,14,35,22,10,
4580,22.0,4.6,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,23,22,40,22,10,
4581,36.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,44,19,30,22,10,
4582,34.0,4.1,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,44,19,30,22,10,
4583,36.0,4.1,Fog,Low,2,Drinks,scooter,1.0,No,Metropolitian,35,23,40,22,10,
4584,26.0,4.7,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,10,22,15,22,10,
4585,21.0,4.8,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,16,10,22,10,
4586,20.0,4.9,Stormy,Jam,2,Drinks,scooter,1.0,No,Urban,28,19,45,22,10,
4587,36.0,4.8,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,15,22,30,22,10,
4588,21.0,4.4,Fog,Medium,2,Snack,motorcycle,1.0,No,Urban,35,18,55,22,10,
4589,20.0,4.8,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,14,9,20,22,10,
4590,21.0,4.6,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,25,21,35,22,10,
4591,36.0,4.8,Stormy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,34,17,25,22,10,
4592,28.0,4.6,Windy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,25,20,20,22,10,
4593,35.0,4.4,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,43,17,10,22,10,
4594,39.0,4.6,Sandstorms,High,1,Drinks,motorcycle,1.0,No,Urban,28,11,35,22,10,
4595,35.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,8,35,22,10,
4596,25.0,4.5,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,42,17,55,22,10,
4597,25.0,4.3,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,39,19,30,22,10,
4598,38.0,4.9,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,22,30,22,10,
4599,20.0,4.8,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,12,20,20,22,10,
4600,32.0,4.5,Fog,Low,1,Drinks,scooter,0.0,No,Urban,17,22,50,22,10,
4601,29.0,4.7,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,25,22,45,22,10,
4602,25.0,4.5,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,29,11,25,22,10,
4603,35.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,30,18,35,22,10,
4604,25.0,4.9,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,26,21,55,22,10,
4605,38.0,4.7,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,34,18,45,22,10,
4606,29.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,36,20,10,22,10,
4607,21.0,4.9,Fog,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,19,8,30,22,10,
4608,26.0,4.6,Sandstorms,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,15,15,22,10,
4609,36.0,5.0,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Urban,25,20,45,22,10,
4610,25.0,4.0,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,38,19,30,22,10,
4611,30.0,4.6,Fog,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,19,22,35,22,10,
4612,21.0,4.9,Cloudy,Low,0,Snack,motorcycle,0.0,No,Urban,21,23,20,22,10,
4613,23.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,38,21,40,22,10,
4614,39.0,4.8,Sandstorms,High,1,Snack,scooter,0.0,No,Metropolitian,26,14,50,22,10,
4615,23.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,17,9,30,22,10,
4616,25.0,4.8,Sunny,High,1,Snack,motorcycle,1.0,No,Metropolitian,11,14,45,22,10,
4617,37.0,5.0,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,27,18,10,22,10,
4618,24.0,4.5,Stormy,Low,1,Snack,scooter,0.0,No,Metropolitian,17,10,30,22,10,
4619,26.0,4.8,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,29,22,40,22,10,
4620,35.0,4.0,Cloudy,Medium,2,Buffet,scooter,1.0,No,Urban,36,18,30,22,10,
4621,39.0,4.4,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Metropolitian,34,19,55,22,10,
4622,28.0,5.0,Cloudy,Low,2,Snack,motorcycle,0.0,No,Urban,16,10,50,22,10,
4623,39.0,4.8,Windy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,23,25,22,10,
4624,22.0,4.9,Windy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,11,20,25,22,10,
4625,32.0,4.8,Cloudy,Jam,1,Meal,scooter,1.0,No,Urban,34,20,20,22,10,
4626,37.0,4.8,Sandstorms,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,39,16,15,22,10,
4627,24.0,4.5,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,28,21,55,22,10,
4628,26.0,4.6,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,17,22,20,22,10,
4629,35.0,4.4,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,34,23,40,22,10,
4630,36.0,4.2,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,41,20,30,22,10,
4631,28.0,5.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,34,19,10,22,10,
4632,31.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,39,22,55,22,10,
4633,22.0,4.8,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Urban,27,21,35,22,10,
4634,25.0,4.9,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,18,50,22,10,
4635,37.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,41,23,20,22,10,
4636,21.0,4.9,Stormy,Low,1,Buffet,scooter,0.0,No,Urban,11,10,15,22,10,
4637,34.0,4.1,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,32,17,25,22,10,
4638,21.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,26,19,45,22,10,
4639,36.0,4.6,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,15,8,55,22,10,
4640,24.0,5.0,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,27,17,10,22,10,
4641,36.0,4.1,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,39,19,30,22,10,
4642,25.0,4.7,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Urban,26,23,40,22,10,
4643,29.0,5.0,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,17,25,22,10,
4644,30.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,24,8,20,22,10,
4645,26.0,4.6,Fog,Low,2,Snack,motorcycle,1.0,No,Urban,11,23,20,22,10,
4646,28.0,4.9,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,18,35,22,10,
4647,31.0,4.6,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,23,18,30,22,10,
4648,31.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Urban,42,17,25,22,10,
4649,28.0,4.8,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,17,23,25,22,10,
4650,26.0,4.9,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,21,21,20,22,10,
4651,22.0,4.9,Windy,High,1,Meal,motorcycle,0.0,No,Urban,14,14,20,22,10,
4652,31.0,3.5,Windy,Jam,2,Snack,scooter,1.0,Yes,Metropolitian,41,20,40,22,10,
4653,33.0,4.1,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,33,17,25,22,10,
4654,28.0,4.8,Cloudy,Medium,2,Buffet,scooter,0.0,No,Urban,14,17,35,22,10,
4655,36.0,3.6,Windy,Jam,2,Buffet,motorcycle,0.0,No,Urban,34,19,35,22,10,
4656,28.0,4.6,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,17,10,10,22,10,
4657,38.0,4.6,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,15,8,10,22,10,
4658,38.0,4.5,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,10,15,22,10,
4659,28.0,4.5,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,21,19,55,22,10,
4660,20.0,4.5,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,13,22,30,22,10,
4661,32.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,31,23,20,22,10,
4662,25.0,4.9,Windy,Jam,1,Meal,scooter,1.0,No,Urban,10,20,35,22,10,
4663,31.0,5.0,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,28,10,55,22,10,
4664,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20,35,22,10,
4665,28.0,4.5,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,8,20,22,10,
4666,25.0,4.8,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,21,16,25,22,10,
4667,34.0,4.6,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,19,23,25,22,10,
4668,35.0,4.7,Sunny,High,1,Drinks,scooter,1.0,No,Metropolitian,21,14,50,22,10,
4669,36.0,3.6,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,34,17,25,22,10,
4670,26.0,4.7,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Urban,48,21,25,22,10,
4671,31.0,4.7,Cloudy,High,1,Snack,scooter,0.0,No,Metropolitian,29,13,15,22,10,
4672,22.0,5.0,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,27,17,15,22,10,
4673,20.0,4.9,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,14,18,55,22,10,
4674,30.0,4.8,Cloudy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,17,18,10,22,10,
4675,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,14,35,22,10,
4676,34.0,4.4,Cloudy,High,1,Drinks,motorcycle,0.0,No,Metropolitian,35,11,20,22,10,
4677,25.0,4.7,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,15,23,35,22,10,
4678,27.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,21,25,22,10,
