,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
8832,30.0,5.0,23.359407,85.325055,23.399407,85.365055,14:40,14:45,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,16
8839,22.0,4.6,11.024839,77.007003,11.104839,77.087003,21:45,21:55,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,38
8841,21.0,4.8,21.175104,72.804342,21.305104,72.934342,22:20,22:25,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22
8843,34.0,4.7,12.326356,76.619103,12.366356,76.659103,15:10,15:15,Windy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,30
8844,27.0,4.1,26.902908,75.792934,27.042908,75.932934,17:35,17:40,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,32
8848,29.0,4.8,22.310237,73.158921,22.350237,73.198921,14:35,14:50,Cloudy,High,1,Meal,motorcycle,2.0,No,Metropolitian,33
8850,28.0,4.9,11.000762,76.981876,11.050762,77.031876,17:20,17:25,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,29
8851,21.0,4.8,26.471529,80.313458,26.491529,80.333458,10:10,10:15,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24
8852,21.0,4.8,22.577821,88.400581,22.607821,88.430581,23:30,23:35,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21
8854,21.0,4.5,12.970324,77.645748,13.050324,77.725748,22:50,23:05,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,21
8856,25.0,4.2,10.027014,76.308053,10.037014,76.318053,08:55,09:10,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26
8857,38.0,5.0,17.451976,78.385883,17.501976,78.435883,22:25,22:30,Sunny,Low,2,Snack,scooter,0.0,No,Metropolitian,10
8859,23.0,4.0,17.430448,78.418213,17.500448,78.488213,21:55,22:10,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,38
8861,39.0,4.6,25.454697,81.834492,25.494697,81.874492,14:40,14:50,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,25
8863,26.0,4.9,22.651847,75.881991,22.741847,75.971991,23:25,23:40,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15
8864,28.0,4.1,12.323978,76.627961,12.343978,76.647961,10:25,10:40,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23
8868,26.0,4.6,21.173493,72.801953,21.213493,72.841953,13:55,14:05,Stormy,High,2,Snack,motorcycle,1.0,No,Metropolitian,18
8869,36.0,4.4,12.323225,76.630028,12.383225,76.690028,22:50,23:05,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25
8870,26.0,4.5,12.975996,80.221898,13.015996,80.261898,12:45,12:55,Stormy,High,1,Drinks,motorcycle,1.0,No,Urban,12
8871,35.0,4.5,11.006686,76.951736,11.036686,76.981736,22:10,22:20,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,29
8872,27.0,4.8,18.536718,73.830327,18.626718,73.920327,18:15,18:20,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,41
8873,32.0,4.7,11.024839,77.007003,11.034839,77.017003,11:15,11:25,Windy,High,1,Meal,scooter,1.0,No,Urban,32
8874,24.0,4.7,12.334022,76.618203,12.414022,76.698203,17:20,17:35,Cloudy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,37
8875,22.0,4.7,12.933298,77.614293,12.963298,77.644293,18:10,18:25,Cloudy,Medium,2,Meal,scooter,0.0,No,Metropolitian,15
8877,39.0,4.7,13.058616,80.264151,13.078616,80.284151,11:30,11:40,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,25
8878,24.0,4.9,12.981615,80.231598,13.051615,80.301598,20:25,20:35,Stormy,Jam,1,Drinks,scooter,1.0,No,Urban,24
8879,28.0,4.6,17.430448,78.418213,17.490448,78.478213,17:40,17:50,Stormy,Medium,2,Meal,motorcycle,0.0,No,Urban,27
8884,37.0,4.9,13.026286,80.275235,13.086286,80.335235,18:40,18:45,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,32
8889,38.0,4.6,13.064181,80.236442,13.084181,80.256442,09:45,09:50,Windy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,29
8891,37.0,4.9,26.766536,75.837333,26.816536,75.887333,18:30,18:35,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,19
8895,39.0,4.6,12.316967,76.603067,12.446967,76.733067,22:35,22:40,Sunny,Low,2,Snack,motorcycle,1.0,No,Metropolitian,16
8896,26.0,4.9,17.455894,78.375467,17.505894,78.425467,19:15,19:25,Windy,Jam,1,Meal,scooter,1.0,No,Urban,11
8897,20.0,4.6,12.321214,76.621094,12.361214,76.661094,16:45,16:55,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,26
8899,36.0,4.7,22.761226,75.887522,22.771226,75.897522,08:15,08:25,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,20
8900,26.0,4.8,12.323225,76.630028,12.393225,76.700028,20:55,21:05,Fog,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,35
8903,28.0,4.7,12.975996,80.221898,13.035996,80.281898,19:15,19:20,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,17
8905,30.0,4.2,22.551084,88.354127,22.581084,88.384127,17:30,17:45,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,34
8906,33.0,4.6,21.149669,72.772629,21.219669,72.842629,17:25,17:30,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27
8907,29.0,4.4,11.024839,77.007003,11.034839,77.017003,10:55,11:10,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,19
8909,27.0,5.0,25.450377,81.834236,25.510377,81.894236,18:55,19:10,Windy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,24
8910,22.0,4.9,30.873988,75.842739,30.953988,75.922739,19:35,19:40,Fog,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,35
8911,34.0,4.7,18.994049,72.825203,19.084049,72.915203,22:40,22:45,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,19
8912,28.0,4.6,12.970324,77.645748,13.030324,77.705748,22:35,22:45,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,18
8913,24.0,4.6,12.933298,77.614293,13.043298,77.724293,19:25,19:40,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,26
8915,34.0,4.1,11.003669,76.976494,11.063669,77.036494,22:30,22:40,Windy,Low,0,Buffet,motorcycle,0.0,No,Urban,25
8918,29.0,4.9,13.064181,80.236442,13.124181,80.296442,23:15,23:20,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,10
8919,38.0,4.8,19.131141,72.813074,19.221141,72.903074,22:10,22:15,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,36
8920,28.0,4.2,11.025083,77.015393,11.135083,77.125393,17:50,18:05,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,38
8921,32.0,4.9,19.091458,72.827808,19.131458,72.867808,12:35,12:50,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,30
8923,28.0,4.6,12.972532,77.608179,13.052532,77.688179,18:20,18:35,Sandstorms,Medium,1,Snack,scooter,0.0,No,Metropolitian,16
8926,21.0,4.7,12.310972,76.659264,12.320972,76.669264,10:45,10:55,Stormy,Low,1,Drinks,scooter,0.0,No,Urban,19
8927,27.0,5.0,17.430448,78.418213,17.450448,78.438213,08:40,08:50,Sunny,Low,1,Snack,scooter,0.0,No,Urban,21
8929,26.0,4.7,13.054347,80.257221,13.144347,80.347221,18:30,18:35,Sandstorms,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,24
8930,26.0,4.7,12.906229,77.596791,12.916229,77.606791,11:55,12:05,Sandstorms,High,2,Drinks,electric_scooter,0.0,No,Metropolitian,28
8931,30.0,4.8,21.160437,72.774209,21.200437,72.814209,12:10,12:20,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,30
8932,30.0,4.9,22.722634,75.886959,22.762634,75.926959,13:45,13:55,Windy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,28
8935,24.0,4.7,12.321214,76.621094,12.451214,76.751094,20:40,20:45,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,18
8938,25.0,4.8,27.165108,78.015053,27.245108,78.095053,22:40,22:50,Fog,Low,1,Snack,scooter,0.0,No,Metropolitian,27
8939,22.0,4.9,12.323225,76.630028,12.403225,76.710028,20:35,20:50,Sandstorms,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,29
8940,33.0,3.7,26.902328,75.794257,27.042328,75.934257,17:55,18:10,Windy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,35
8943,34.0,4.7,17.431668,78.408321,17.491668,78.468321,21:20,21:30,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29
8944,33.0,4.7,12.325461,76.632278,12.405461,76.712278,21:55,22:10,Fog,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,43
8947,37.0,4.9,11.003681,76.975525,11.083681,77.055525,22:40,22:45,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,29
8948,33.0,4.3,26.911927,75.797282,27.001927,75.887282,19:50,20:05,Cloudy,Jam,1,Meal,scooter,2.0,No,Urban,38
8949,29.0,4.7,19.055831,72.833984,19.185831,72.963984,19:25,19:40,Windy,Jam,2,Drinks,motorcycle,1.0,No,Urban,24
8950,28.0,4.6,17.438263,78.397865,17.528263,78.487865,20:50,21:05,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Urban,26
8951,29.0,5.0,17.431668,78.408321,17.501668,78.478321,19:15,19:25,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,48
8955,21.0,5.0,30.890184,75.829615,31.000184,75.939615,18:25,18:35,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,26
8957,35.0,3.7,12.979096,77.640625,13.069096,77.730625,22:15,22:25,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,31
8958,22.0,5.0,10.020683,76.310631,10.100683,76.390631,18:10,18:15,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,39
8959,20.0,4.9,13.027018,80.254791,13.037018,80.264791,09:50,10:05,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20
8961,31.0,5.0,12.986047,80.218114,12.996047,80.228114,11:10,11:25,Fog,High,1,Buffet,motorcycle,1.0,No,Urban,36
8962,23.0,4.3,11.024839,77.007003,11.154839,77.137003,18:30,18:40,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Urban,37
8964,29.0,4.9,22.311844,73.165081,22.441844,73.295081,19:50,20:05,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26
8965,35.0,4.9,17.450851,78.379347,17.490851,78.419347,12:35,12:50,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,20
8968,27.0,4.7,12.326356,76.619103,12.406356,76.699103,23:15,23:25,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22
8969,34.0,5.0,18.546947,73.900626,18.566947,73.920626,10:30,10:35,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,17
8970,33.0,4.6,11.022169,76.999594,11.112169,77.089594,19:10,19:20,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Urban,40
8971,26.0,4.9,23.357804,85.325146,23.417804,85.385146,22:55,23:05,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,11
8973,37.0,4.7,13.064181,80.236442,13.094181,80.266442,23:35,23:45,Sandstorms,Low,2,Snack,scooter,0.0,No,Metropolitian,20
8979,20.0,4.6,30.885814,75.786976,31.025814,75.926976,17:20,17:30,Windy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,23
8982,31.0,4.6,19.103249,72.846749,19.123249,72.866749,10:20,10:25,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15
8985,38.0,4.9,13.066762,80.251865,13.076762,80.261865,11:15,11:20,Sandstorms,High,1,Drinks,motorcycle,1.0,No,Metropolitian,31
8987,29.0,4.8,13.058616,80.264151,13.118616,80.324151,18:40,18:50,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29
8988,27.0,5.0,21.175975,72.795503,21.245975,72.865503,23:15,23:25,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,28
8989,34.0,4.8,22.307898,73.167788,22.367898,73.227788,19:35,19:40,Fog,Jam,1,Buffet,scooter,1.0,No,Urban,33
8992,30.0,4.0,12.311072,76.654878,12.361072,76.704878,20:40,20:45,Fog,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,33
8993,37.0,4.3,13.026286,80.275235,13.086286,80.335235,20:35,20:50,Stormy,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,46
8997,23.0,4.6,10.027364,76.308258,10.087364,76.368258,18:55,19:05,Sandstorms,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,21
8998,23.0,4.8,22.760072,75.892574,22.790072,75.922574,18:50,19:05,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Urban,15
8999,35.0,4.6,10.003064,76.307589,10.113064,76.417589,18:15,18:25,Stormy,Medium,0,Buffet,motorcycle,2.0,No,Urban,43
9002,25.0,5.0,23.214459,77.434976,23.274459,77.494976,17:10,17:15,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,10
9003,34.0,4.8,23.355164,85.324097,23.395164,85.364097,16:40,16:50,Cloudy,Medium,2,Buffet,scooter,1.0,No,Urban,17
9005,20.0,4.7,12.316967,76.603067,12.396967,76.683067,20:20,20:30,Cloudy,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,46
9006,25.0,4.9,12.981615,80.231598,13.051615,80.301598,18:10,18:20,Windy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,26
9007,31.0,4.5,17.433809,78.386744,17.523809,78.476744,22:35,22:40,Fog,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,26
9009,31.0,3.8,10.994136,76.963303,11.124136,77.093303,20:40,20:50,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Urban,41
9011,38.0,4.9,22.727021,75.884167,22.807021,75.964167,23:20,23:25,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,27
9013,31.0,4.9,17.458998,78.500366,17.508998,78.550366,17:50,17:55,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,27
9014,20.0,4.9,23.371292,85.327872,23.411292,85.367872,15:55,16:10,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,22
9018,24.0,4.8,17.455894,78.375467,17.545894,78.465467,18:25,18:30,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,29
9022,26.0,4.2,22.310329,73.169083,22.350329,73.209083,13:40,13:55,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,32
9025,31.0,4.8,11.016298,76.972076,11.066298,77.022076,21:15,21:20,Sunny,Jam,1,Snack,motorcycle,0.0,No,Urban,19
9027,26.0,4.8,12.316967,76.603067,12.336967,76.623067,09:45,09:50,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16
9032,27.0,4.7,19.207222,72.972281,19.237222,73.002281,22:15,22:30,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,17
9034,22.0,5.0,23.359033,85.325347,23.469033,85.435347,17:40,17:45,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,36
9039,35.0,3.9,21.160522,72.771477,21.270522,72.881477,21:55,22:10,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,43
9041,34.0,4.8,26.483672,80.320708,26.493672,80.330708,08:45,08:55,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,21
9042,22.0,4.3,21.175104,72.804342,21.195104,72.824342,10:55,11:10,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,28
9043,31.0,4.4,11.008638,76.984311,11.098638,77.074311,19:45,19:50,Windy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,41
9046,34.0,4.4,22.745536,75.893106,22.875536,76.023106,20:15,20:25,Windy,Jam,1,Buffet,motorcycle,0.0,Yes,Urban,41
9048,34.0,4.9,26.905287,75.794592,26.915287,75.804592,09:40,09:45,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,22
9051,38.0,4.6,17.411028,78.329645,17.491028,78.409645,23:35,23:50,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,25
9052,34.0,4.7,21.186884,72.793616,21.296884,72.903616,22:50,23:05,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,25
9053,27.0,4.6,19.176269,72.836721,19.266269,72.926721,19:10,19:20,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,24
9055,21.0,4.5,11.022298,76.998349,11.052298,77.028349,18:15,18:20,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,14
9056,33.0,4.2,22.744648,75.894377,22.774648,75.924377,18:35,18:40,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Urban,38
9057,27.0,4.9,23.353783,85.326967,23.373783,85.346967,11:30,11:45,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,20
9059,39.0,4.8,26.902908,75.792934,26.952908,75.842934,19:25,19:30,Sunny,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,20
9061,32.0,4.9,13.005801,80.250744,13.025801,80.270744,10:45,10:50,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27
9062,32.0,4.3,17.424114,78.347554,17.514114,78.437554,21:20,21:25,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,41
9063,38.0,4.1,18.539299,73.897902,18.669299,74.027902,19:40,19:50,Fog,Jam,2,Buffet,motorcycle,1.0,No,Urban,37
9067,30.0,4.4,15.496162,73.825364,15.586162,73.915364,23:35,23:40,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,31
9070,33.0,4.4,18.994049,72.825203,19.124049,72.955203,23:20,23:30,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,37
9072,21.0,4.8,13.049645,80.242268,13.129645,80.322268,17:25,17:35,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,29
9075,31.0,4.9,12.325461,76.632278,12.455461,76.762278,18:25,18:30,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,37
9077,36.0,4.3,12.913041,77.683237,12.953041,77.723237,12:10,12:15,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,33
9078,23.0,4.8,25.443994,81.860187,25.553994,81.970187,17:50,18:05,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,24
9079,36.0,4.9,12.970221,77.645396,13.040221,77.715396,20:20,20:30,Fog,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,54
9080,38.0,5.0,19.876428,75.364792,19.906428,75.394792,17:45,17:50,Windy,Medium,1,Meal,scooter,1.0,No,Urban,29
9081,26.0,4.7,17.410371,78.437225,17.470371,78.497225,21:30,21:45,Cloudy,Jam,2,Meal,electric_scooter,0.0,No,Urban,22
9083,22.0,4.5,18.994049,72.825203,19.044049,72.875203,23:15,23:25,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,16
9085,39.0,4.4,19.876219,75.346017,19.966219,75.436017,21:10,21:20,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,40
9088,31.0,4.8,12.979096,77.640625,13.049096,77.710625,18:20,18:35,Fog,Medium,2,Snack,motorcycle,1.0,No,Urban,42
9089,34.0,4.5,30.893384,75.821202,30.983384,75.911202,20:10,20:20,Windy,Jam,1,Meal,scooter,0.0,No,Metropolitian,39
9090,34.0,4.7,30.885814,75.786976,30.895814,75.796976,09:25,09:40,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Urban,18
9092,34.0,4.8,27.161661,78.011544,27.271661,78.121544,21:50,22:05,Fog,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,38
9095,23.0,4.5,13.027018,80.254791,13.057018,80.284791,21:30,21:45,Fog,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,28
9096,27.0,4.7,17.428294,78.404423,17.448294,78.424423,11:40,11:45,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,22
9100,28.0,4.8,21.170096,72.789122,21.220096,72.839122,20:50,20:55,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,28
9103,23.0,4.6,12.337978,76.616792,12.447978,76.726792,17:20,17:25,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,37
9104,35.0,4.9,22.651847,75.881991,22.661847,75.891991,08:35,08:40,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25
9106,37.0,4.5,12.323194,76.630583,12.393194,76.700583,23:40,23:45,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28
9110,32.0,4.7,12.933284,77.615428,13.043284,77.725428,23:30,23:40,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27
9112,30.0,4.6,17.455894,78.375467,17.475894,78.395467,09:30,09:45,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,21
9113,23.0,4.7,18.539299,73.897902,18.559299,73.917902,10:20,10:35,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,19
9117,21.0,4.5,17.410371,78.437225,17.520371,78.547225,19:40,19:55,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,19
9119,32.0,4.9,26.911378,75.789034,27.041378,75.919034,21:15,21:25,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,40
9120,33.0,4.9,13.086438,80.220672,13.126439,80.260672,15:35,15:45,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,21
9124,31.0,4.2,18.546947,73.900626,18.616947,73.970626,18:35,18:40,Windy,Medium,2,Snack,scooter,1.0,No,Urban,37
9125,31.0,4.8,18.593481,73.785901,18.663481,73.855901,22:20,22:35,Windy,Low,2,Snack,electric_scooter,1.0,No,Urban,15
9127,22.0,4.6,26.910262,75.783013,27.000262,75.873013,19:30,19:35,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29
9128,37.0,4.8,12.975377,77.696664,13.055377,77.776664,22:15,22:30,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26
9129,26.0,4.0,21.183434,72.814492,21.313434,72.944492,19:25,19:30,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,32
9131,21.0,4.8,15.506205,73.766668,15.566205,73.826668,17:20,17:35,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Urban,27
9132,21.0,4.4,17.438263,78.397865,17.568263,78.527865,17:35,17:45,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,32
9133,32.0,5.0,23.351058,85.325731,23.361058,85.335731,10:50,10:55,Fog,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15
9134,32.0,4.0,21.170798,72.790489,21.180798,72.800489,11:35,11:45,Fog,High,0,Meal,motorcycle,1.0,No,Metropolitian,31
9135,21.0,4.8,22.569358,88.433452,22.679358,88.543452,23:15,23:30,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,21
9136,37.0,4.7,25.451646,81.832796,25.511646,81.892796,18:15,18:30,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30
9137,22.0,4.6,22.725748,75.898497,22.835748,76.008497,19:40,19:55,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,29
9141,37.0,4.9,23.353783,85.326967,23.413783,85.386967,18:55,19:10,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,15
9143,23.0,4.5,12.337978,76.616792,12.427978,76.706792,18:45,18:50,Sandstorms,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,27
9145,24.0,4.7,25.449872,81.836167,25.459872,81.846167,08:40,08:55,Stormy,Low,2,Buffet,motorcycle,0.0,No,Urban,14
9146,35.0,4.2,30.332735,78.054222,30.372735,78.094222,16:15,16:25,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,33
9148,21.0,4.7,11.001852,76.976268,11.111852,77.086268,19:15,19:25,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,24
9152,36.0,5.0,23.359194,85.325447,23.399194,85.365447,13:25,13:35,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,32
9153,37.0,4.9,18.927584,72.832585,18.957584,72.862585,17:30,17:45,Cloudy,Medium,2,Snack,motorcycle,0.0,No,Urban,19
9155,33.0,4.8,17.433809,78.386744,17.443809,78.396744,11:25,11:30,Sandstorms,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34
9157,34.0,4.8,22.310526,73.170937,22.320526,73.180937,09:25,09:30,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,21
9158,29.0,5.0,26.849596,75.800512,26.909596,75.860512,19:30,19:45,Stormy,Jam,1,Snack,motorcycle,1.0,No,Urban,24
9159,23.0,4.6,22.751857,75.866699,22.811857,75.926699,17:30,17:40,Sandstorms,Medium,2,Drinks,scooter,0.0,No,Urban,28
9160,32.0,4.8,19.207222,72.972281,19.277222,73.042281,22:35,22:50,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,18
9161,27.0,4.6,17.430448,78.418213,17.440448,78.428213,11:45,11:50,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,23
9162,32.0,4.6,13.081878,80.248519,13.211878,80.378519,22:20,22:30,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Urban,18
9163,29.0,3.6,22.310526,73.170937,22.370526,73.230937,21:10,21:15,Sunny,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,54
9164,22.0,4.8,13.026286,80.275235,13.056286,80.305235,18:50,18:55,Sunny,Medium,1,Snack,scooter,0.0,No,Urban,11
9165,22.0,4.6,11.022477,76.995667,11.082477,77.055667,20:15,20:20,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,20
9168,34.0,4.6,17.438263,78.397865,17.518263,78.477865,23:35,23:50,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,24
9169,33.0,5.0,17.438263,78.397865,17.568263,78.527865,20:10,20:25,Cloudy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,48
9170,31.0,4.5,17.426228,78.407495,17.506228,78.487495,22:10,22:15,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,26
9171,21.0,5.0,26.910262,75.783013,27.050262,75.923013,18:15,18:30,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,17
9173,33.0,4.7,17.433809,78.386744,17.563809,78.516744,19:35,19:50,Sunny,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,43
9175,22.0,4.5,22.526461,88.364453,22.606461,88.444453,18:35,18:50,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,15
9176,33.0,4.6,22.651847,75.881991,22.701847,75.931991,19:25,19:30,Fog,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,28
9178,30.0,4.5,12.934179,77.615797,13.064179,77.745797,20:55,21:10,Stormy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,27
9179,30.0,4.3,18.536562,73.896485,18.666562,74.026485,22:30,22:35,Cloudy,Low,0,Meal,motorcycle,1.0,No,Urban,38
